stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
112,112,"Calhoun St/Madison St",37.133306,-80.547795,1
113,113,"Food Lion Plaza",37.128871,-80.546081,1
114,114,"Auburn Ave/Cedar Ridge Dr.",37.12661,-80.54164,1
115,115,"Ridgewood Lane",37.124032,-80.542646,1
116,116,"Auburn Ave/Villa Trailer Park",37.124234,-80.540091,1
117,117,"Auburn Ave/Tyler Ave",37.123531,-80.537058,1
118,118,"Best Western",37.125905,-80.538836,1
119,119,"Tyler Ave/Auburn Ave",37.128235,-80.541609,1
120,120,"Tyler Ave/Milton Ln",37.129322,-80.545809,1
121,121,"Main St/Madison St",37.136865,-80.54431,1
122,122,"Main St/Burlington St",37.135744,-80.5421,1
123,123,"Burlington St/Clement St",37.133878,-80.542584,1
124,124,"Clement St/Whitehall St",37.132821,-80.540343,1
125,125,"Copper Beech",37.129697,-80.55625,1
126,126,"Miller St (Exit)",37.130725,-80.556213,1
127,127,"Fulk Dr",37.150483,-80.584018,1
128,128,"Miller St Entrance",37.130767,-80.556536,1
129,129,"Kyle Hall",37.133704,-80.550521,1
130,130,"George St",37.130978,-80.557103,1
131,131,"Lot CC/Shelter",37.140117,-80.546483,1
132,132,"Lot CC/Stadium Gates",37.1395,-80.545283,1
